"CNTSCHID" "PV1MATH" "PV1READ" "PV1SCIE" "ESCS" "TMINS" "Region"
"14286" 82600007 533.589 564.341 545.47 1.1072 1750 82611
"14287" 82600007 446.849 471.65 469.275 -0.5502 1500 82611
"14288" 82600009 474.932 466.039 533.425 0.1372 NA 82613
"14289" 82600009 566.974 546.879 507.949 0.7136 1375 82613
"14290" 82600009 551.638 536.156 499.04 -0.3789 1250 82613
"14291" 82600009 495.378 532.483 502.236 0.5177 1500 82613
"14292" 82600009 604.892 517.274 573.899 0.9452 1375 82613
"14293" 82600009 349.31 296.759 355.777 -0.8357 NA 82613
"14294" 82600009 434.175 516.142 448.506 1.5509 NA 82613
"14295" 82600009 351.154 308.4 389.6 0.1559 NA 82613
"14296" 82600009 510.802 473.904 581.022 1.893 1500 82613
"14297" 82600009 586.234 506.646 545.086 1.3678 1500 82613
"14298" 82600009 333.535 223.106 366.342 1.2764 NA 82613
"14299" 82600009 430.665 311.852 429.34 -0.0144 NA 82613
"14300" 82600009 286.994 208.055 304.876 -0.2522 NA 82613
"14301" 82600009 575.28 606.418 446.727 1.0668 1500 82613
"14302" 82600009 472.508 422.462 383.419 -0.4237 NA 82613
"14303" 82600009 589.482 536.653 582.15 1.3611 1500 82613
"14304" 82600009 378.027 334.738 370.584 0.8414 1750 82613
"14305" 82600009 602.19 475.54 524.504 0.9285 1375 82613
"14306" 82600009 551.579 410.907 469.682 0.2346 1500 82613
"14307" 82600009 503.184 411.319 524.906 -0.6122 NA 82613
"14308" 82600009 448.448 505.187 460.543 1.2665 1375 82613
"14309" 82600009 558.522 617.796 587.809 -0.6537 1500 82613
"14310" 82600009 445.825 404.786 445.227 -0.5205 1500 82613
"14311" 82600009 435.374 414.92 374.857 NA NA 82613
"14312" 82600009 445.967 310.118 328.392 -0.3188 NA 82613
"14313" 82600009 474.539 517.555 444.832 1.0267 1500 82613
"14314" 82600009 586.717 607.889 642.379 1.2528 1500 82613
"14315" 82600009 435.604 322.815 421.645 -0.7192 NA 82613
"14316" 82600009 578.891 648.794 629.373 1.4396 1500 82613
"14317" 82600009 402.928 389.281 428.061 1.206 2820 82613
"14318" 82600009 528.512 439.318 412.682 1.7979 1375 82613
"14319" 82600009 509.636 422.737 460.054 -0.2409 NA 82613
"14320" 82600010 526.349 526.214 492.779 -0.5547 1500 82611
"14321" 82600010 567.166 666.29 644.555 2.064 1500 82611
"14322" 82600010 488.923 479.079 468.083 -0.1451 1500 82611
"14323" 82600010 473.121 577.649 596.261 1.0971 1500 82611
"14324" 82600010 540.94 422.79 441.31 1.1934 3000 82611
"14325" 82600010 525.673 637.959 517.711 2.2381 1500 82611
"14326" 82600010 545.789 494.728 531.442 0.3102 1500 82611
"14327" 82600010 527.515 452.786 425.114 0.9941 1500 82611
"14328" 82600010 669.097 652.013 580.557 1.2608 1500 82611
"14329" 82600010 531.946 508.379 508 1.1636 1740 82611
"14330" 82600010 704.164 684.802 749.985 1.147 900 82611
"14331" 82600010 532.949 482.423 519.451 0.4966 1500 82611
"14332" 82600010 589.028 577.515 576.083 0.4762 1320 82611
"14333" 82600010 478.863 485.205 505.126 1.3527 2375 82611
"14334" 82600010 539.877 566.963 570.797 1.6686 1500 82611
"14335" 82600010 590.457 549.944 561.796 1.223 1500 82611
"14336" 82600010 475.672 570.948 537.444 1.68 3000 82611
"14337" 82600010 533.48 578.891 548.36 0.1081 1500 82611
"14338" 82600010 607.865 600.218 571.657 0.9235 1500 82611
"14339" 82600010 717.477 549.757 632.06 1.2391 1500 82611
"14340" 82600010 756.517 654.974 751.959 0.7449 1500 82611
"14341" 82600010 440.721 416.442 428.492 1.2244 1500 82611
"14342" 82600010 683.999 719.928 692.217 0.7858 1500 82611
"14343" 82600010 546.606 577.889 598.539 1.623 1500 82611
"14344" 82600010 560.023 625.414 632.567 0.2852 1500 82611
"14345" 82600010 568.066 534.83 564.747 0.7689 1500 82611
"14346" 82600010 504.119 467.77 503.976 1.143 1500 82611
"14347" 82600011 532.718 483.763 561.223 1.0201 1575 82612
"14348" 82600011 453.992 398.342 450.396 0.744 NA 82612
"14349" 82600011 473.454 473.561 463.998 -1.5776 945 82612
"14350" 82600011 292.235 348.094 297.638 0.2494 810 82612
"14351" 82600011 416.903 338.931 368.063 -0.2493 NA 82612
"14352" 82600011 508.605 416.363 521.345 1.1782 1575 82612
"14353" 82600011 440.523 459.26 457.453 -0.8937 2200 82612
"14354" 82600011 497.251 577.127 534.682 1.1358 1575 82612
"14355" 82600011 434.645 429.783 322.709 -0.197 945 82612
"14356" 82600011 456.415 397.244 415.066 1.403 1575 82612
"14357" 82600011 449.14 491.506 469.871 -0.313 1575 82612
"14358" 82600011 317.707 307.236 268.737 -0.9894 NA 82612
"14359" 82600011 398.005 452.153 435.124 -1.2655 1015 82612
"14360" 82600011 490.561 532.882 523.256 -0.6643 NA 82612
"14361" 82600011 460.231 461.173 440.665 -0.7293 1575 82612
"14362" 82600011 461.367 408.575 492.967 -0.8355 NA 82612
"14363" 82600011 490.695 550.351 537.22 0.0426 1350 82612
"14364" 82600011 507.518 539.441 514.34 -0.905 2800 82612
"14365" 82600011 582.883 650.184 589.049 -0.1057 1575 82612
"14366" 82600011 447.043 388.985 449.341 0.75 1575 82612
"14367" 82600011 477.702 482.361 484.626 -0.652 1260 82612
"14368" 82600011 515.268 432.243 447.999 -0.9383 2800 82612
"14369" 82600011 400.744 371.795 411.617 -0.6195 1350 82612
"14370" 82600011 465.588 503.985 488.666 -0.6746 1855 82612
"14371" 82600011 506.607 471.236 491.732 -0.3516 1260 82612
"14372" 82600012 504.205 437.955 498.656 NA NA 82613
"14373" 82600012 570.932 560.956 604.746 NA NA 82613
"14374" 82600012 460.735 460.456 508.836 NA NA 82613
"14375" 82600012 480.61 419.227 467.514 NA NA 82613
"14376" 82600012 493.912 414.403 476.025 NA NA 82613
"14377" 82600012 551.625 475.551 488.982 NA NA 82613
"14378" 82600012 611.054 567.153 545.471 NA NA 82613
"14379" 82600012 450.408 455.846 444.904 NA NA 82613
"14380" 82600012 439.722 325.768 393.182 NA NA 82613
"14381" 82600012 385.904 271.905 384.737 NA NA 82613
"14382" 82600012 409.55 338.608 428.995 NA NA 82613
"14383" 82600012 449.121 466.029 387.775 NA NA 82613
"14384" 82600012 395.354 296.459 333.764 NA NA 82613
"14385" 82600012 518.285 494.18 501.142 NA NA 82613
"14386" 82600012 484.676 468.357 460.383 NA NA 82613
"14387" 82600012 539.444 467.683 523.887 NA NA 82613
"14388" 82600012 313.499 295.302 311.665 NA NA 82613
"14389" 82600012 360.941 295.037 330.458 NA NA 82613
"14390" 82600012 498.395 444.05 458.839 NA NA 82613
"14391" 82600012 458.706 354.403 438.386 NA NA 82613
"14392" 82600012 589.176 608.187 576.428 NA NA 82613
"14393" 82600012 606.177 617.12 589.477 NA NA 82613
"14394" 82600012 483.259 457.736 477.17 NA NA 82613
"14395" 82600012 521.199 484.173 468.715 NA NA 82613
"14396" 82600012 417.873 336.178 393.69 NA NA 82613
"14397" 82600012 476.043 415.029 442.544 NA NA 82613
"14398" 82600012 311.038 243.154 314.565 NA NA 82613
"14399" 82600012 457.072 542.65 475.589 NA NA 82613
"14400" 82600012 417.028 371.056 416.794 NA NA 82613
"14401" 82600013 529.346 609.039 569.612 -1.1246 1500 82612
"14402" 82600013 488.13 586.863 584.534 -0.2749 1650 82612
"14403" 82600013 589.077 585.334 609.39 2.024 1650 82612
"14404" 82600013 544.748 586.919 612.394 -0.1055 1350 82612
"14405" 82600013 593.821 574.364 617.634 0.9784 1500 82612
"14406" 82600013 585.775 672.363 580.55 0.5757 1800 82612
"14407" 82600013 619.148 528.328 525.666 0.7903 1500 82612
"14408" 82600013 602.134 629.583 652.17 0.4949 1650 82612
"14409" 82600013 549.653 639.306 601.696 -0.8136 1500 82612
"14410" 82600013 534.352 499.138 510.512 0.6754 1500 82612
"14411" 82600013 578.404 560.363 558.799 1.827 1500 82612
"14412" 82600013 555.278 578.416 580.84 0.9507 1650 82612
"14413" 82600013 600.807 576.964 656.956 1.7494 1500 82612
"14414" 82600013 508.027 569.287 564.901 -0.574 NA 82612
"14415" 82600013 512.178 543.874 535.026 -0.8741 1500 82612
"14416" 82600013 540.437 530.13 535.466 0.6349 1500 82612
"14417" 82600013 629.728 660.455 618.2 1.661 1650 82612
"14418" 82600013 542.69 557.234 540.288 1.3244 1500 82612
"14419" 82600013 559.286 533.088 551.368 0.9964 1500 82612
"14420" 82600013 548.588 534.178 474.026 -0.7945 1500 82612
"14421" 82600013 535.25 473.345 465.721 0.8119 1900 82612
"14422" 82600013 533.552 616.936 539.002 0.5856 1650 82612
"14423" 82600013 536.477 607.287 610.597 0.7077 1500 82612
"14424" 82600013 626.576 626.915 622.367 -0.9959 1500 82612
"14425" 82600013 489.383 524.071 587.594 1.2214 1500 82612
"14426" 82600013 642.384 606.838 583.795 1.0225 1500 82612
"14427" 82600013 586.2 536.879 552.658 -0.2415 1500 82612
"14428" 82600013 643.683 561.969 597.891 1.2633 1650 82612
"14429" 82600013 683.79 681.051 635.908 0.7934 1500 82612
"14430" 82600013 595.175 560.72 594.946 -0.0613 1500 82612
"14431" 82600013 539.103 565.891 553.37 0.3072 2100 82612
"14432" 82600014 513.476 501.991 488.553 0.9293 1800 82613
"14433" 82600014 531.859 493.353 523.658 -1.0081 1980 82613
"14434" 82600014 503.004 457.255 489.592 0.9681 1500 82613
"14435" 82600014 464.334 504.725 566.703 0.6761 1500 82613
"14436" 82600014 613.436 595.661 635.339 -0.2219 1430 82613
"14437" 82600014 529.997 630.73 604.766 0.3117 NA 82613
"14438" 82600014 533.471 547.238 517.497 NA 1500 82613
"14439" 82600014 559.009 549.205 513.549 0.726 1560 82613
"14440" 82600014 459.94 507.315 475.159 -0.6143 1500 82613
"14441" 82600014 545.495 562.395 480.573 -1.281 1560 82613
"14442" 82600014 351.318 469.02 445.639 0.5312 2160 82613
"14443" 82600014 504.677 505.967 458.547 1.3783 1800 82613
"14444" 82600014 556.146 582.116 547.463 0.4011 1485 82613
"14445" 82600014 529.568 545.778 529.372 0.0607 1500 82613
"14446" 82600014 500.052 479.816 468.275 0.2461 2280 82613
"14447" 82600014 503.46 485.096 455.272 -0.7543 1500 82613
"14448" 82600014 464.323 438.973 385.987 -1.1105 NA 82613
"14449" 82600014 435.847 431.879 413.717 -0.7965 1800 82613
"14450" 82600014 599.711 613.328 561.444 -1.0808 1500 82613
"14451" 82600014 494.121 405.066 387.209 -0.3291 1500 82613
"14452" 82600014 652.867 654.144 605.448 1.4867 1650 82613
"14453" 82600014 530.504 563.976 547.79 -0.2956 1800 82613
"14454" 82600014 457.594 484.259 441.496 -0.1178 1200 82613
"14455" 82600014 444.82 479.069 496.034 0.2892 1500 82613
"14456" 82600014 381.354 370.803 441.059 -0.5549 NA 82613
"14457" 82600014 416.814 415.11 441.714 1.4787 1560 82613
"14458" 82600014 524.429 571.357 547.422 0.5613 NA 82613
"14459" 82600014 427.904 523.636 556.757 -0.5522 1500 82613
"14460" 82600014 444.903 466.587 452.742 0.312 1800 82613
"14461" 82600014 629.079 590.405 579.596 0.9744 1500 82613
"14462" 82600014 480.096 522.889 456.768 -0.708 NA 82613
"14463" 82600016 385.407 444.281 460.315 -1.3637 NA 82611
"14464" 82600016 489.439 531.413 443.776 1.1881 1500 82611
"14465" 82600016 391.435 307.339 330.491 0.5949 1500 82611
"14466" 82600016 609.307 521.306 639.69 1.1815 1375 82611
"14467" 82600016 409.74 470.018 498.279 -1.0123 1500 82611
"14468" 82600016 487.837 497.818 470.698 -0.4742 1500 82611
"14469" 82600016 291.734 346.349 389.871 -2.2023 3000 82611
"14470" 82600016 464.264 407.09 468.949 -0.7701 1250 82611
"14471" 82600016 468.992 361.728 462.443 -1.2958 3000 82611
"14472" 82600016 595.441 561.376 530.607 -1.1906 1375 82611
"14473" 82600016 556.399 590.389 566.983 -0.3372 1620 82611
"14474" 82600016 451.451 440.577 375.868 -1.1007 1500 82611
"14475" 82600016 391.364 439.705 462.438 -0.5074 1500 82611
"14476" 82600016 416.046 346.938 359.062 -1.7381 NA 82611
"14477" 82600016 357.776 452.707 371.996 -1.011 1500 82611
"14478" 82600016 420.368 458.746 481.261 NA NA 82611
"14479" 82600016 419.889 473.306 443.657 -1.1429 1500 82611
"14480" 82600016 320.066 355.71 295.554 -0.7306 1500 82611
"14481" 82600016 328.796 288.747 355.74 0.4691 1625 82611
"14482" 82600016 559.327 564.576 481.868 -1.5799 1500 82611
"14483" 82600016 451.653 518.081 518.743 0.9842 1500 82611
"14484" 82600016 369.919 414.779 375.114 -1.3276 1500 82611
