Contents,,,,,,,,,,,,,,,,,,,
UK summary - positivity,,,,,,,,,,,,,,,,,,,
"Official reported estimates of the percentage of the population testing positive for COVID-19, UK countries",,,,,,,,,,,,,,,,,,,
27 April 2020 to 13 February 2022,,,,,,,,,,,,,,,,,,,
England,,,,,Wales,,,,,Northern Ireland,,,,,Scotland,,,,
Time period,Estimated average % of the population that had COVID-19,95% Lower confidence/credible interval,95% Upper confidence/credible interval,Method,$'UK summary - positivity'.$B$1:$B$1048576,Estimated average % of the population that had COVID-19,95% Lower credible interval,95% Upper credible interval,Method,Time period,Estimated average % of the population that had COVID-19,95% Lower confidence/credible interval,95% Upper confidence/credible interval,Method,Time period,Estimated average % of the population that had COVID-19,95% Lower confidence/credible interval,95% Upper confidence/credible interval,Method
19 September 2021 to 25 September 2021,1.21,1.13,1.28,modelled weekly estimates,19 September 2021 to 25 September 2021,1.76,1.41,2.15,modelled weekly estimates,19 September 2021 to 25 September 2021,1.53,1.11,2.03,modelled weekly estimates,19 September 2021 to 25 September 2021,1.85,1.56,2.17,modelled weekly estimates
26 September 2021 to 02 October 2021,1.44,1.35,1.53,modelled weekly estimates,26 September 2021 to 02 October 2021,1.87,1.50,2.28,modelled weekly estimates,26 September 2021 to 02 October 2021,0.79,0.51,1.14,modelled weekly estimates,26 September 2021 to 02 October 2021,1.61,1.33,1.92,modelled weekly estimates
03 October 2021 to 09 October 2021,1.63,1.54,1.73,modelled weekly estimates,03 October 2021 to 09 October 2021,2.18,1.79,2.61,modelled weekly estimates,03 October 2021 to 09 October 2021,0.82,0.53,1.18,modelled weekly estimates,03 October 2021 to 09 October 2021,1.26,1.02,1.54,modelled weekly estimates
10 October 2021 to 16 October 2021,1.79,1.70,1.89,modelled weekly estimates,10 October 2021 to 16 October 2021,2.31,1.90,2.78,modelled weekly estimates,10 October 2021 to 16 October 2021,0.76,0.50,1.07,modelled weekly estimates,10 October 2021 to 16 October 2021,1.14,0.90,1.41,modelled weekly estimates
16 October 2021 to 22 October 2021,2.02,1.91,2.13,modelled weekly estimates,16 October 2021 to 22 October 2021,2.56,2.12,3.04,modelled weekly estimates,16 October 2021 to 22 October 2021,1.31,0.93,1.76,modelled weekly estimates,17 October 2021 to 23 October 2021,1.36,1.12,1.62,modelled weekly estimates
24 October 2021 to 30 October 2021,2.02,1.91,2.13,modelled weekly estimates,24 October 2021 to 30 October 2021,2.39,1.92,2.92,modelled weekly estimates,24 October 2021 to 30 October 2021,1.49,1.09,2.02,modelled weekly estimates,24 October 2021 to 30 October 2021,1.25,1.00,1.55,modelled weekly estimates
31 October 2021 to 06 November 2021,1.70,1.61,1.79,modelled weekly estimates,31 October 2021 to 06 November 2021,2.13,1.73,2.57,modelled weekly estimates,31 October 2021 to 06 November 2021,1.35,0.98,1.77,modelled weekly estimates,31 October 2021 to 06 November 2021,1.18,0.95,1.42,modelled weekly estimates
07 November 2021 to 13 November 2021,1.51,1.42,1.60,modelled weekly estimates,07 November 2021 to 13 November 2021,1.84,1.47,2.24,modelled weekly estimates,07 November 2021 to 13 November 2021,1.53,1.16,1.96,modelled weekly estimates,07 November 2021 to 13 November 2021,1.06,0.86,1.29,modelled weekly estimates
14 November 2021 to 20 November 2021,1.58,1.49,1.67,modelled weekly estimates,14 November 2021 to 20 November 2021,1.95,1.56,2.36,modelled weekly estimates,14 November 2021 to 20 November 2021,2.03,1.58,2.55,modelled weekly estimates,14 November 2021 to 20 November 2021,1.44,1.21,1.72,modelled weekly estimates
21 November 2021 to 27 November 2021,1.65,1.55,1.75,modelled weekly estimates,21 November 2021 to 27 November 2021,2.11,1.72,2.55,modelled weekly estimates,18 November 2021 to 24 November 2021,2.24,1.75,2.77,modelled weekly estimates,21 November 2021 to 27 November 2021,1.58,1.31,1.89,modelled weekly estimates
25 November 2021 to 01 December 2021,1.64,1.54,1.73,modelled weekly estimates,25 November 2021 to 01 December 2021,1.98,1.62,2.34,modelled weekly estimates,25 November 2021 to 01 December 2021,2.14,1.67,2.67,modelled weekly estimates,26 November 2021 to 02 December 2021,1.24,1.01,1.50,modelled weekly estimates
05 December 2021 to 11 December 2021,1.72,1.62,1.81,modelled weekly estimates,05 December 2021 to 11 December 2021,1.85,1.48,2.26,modelled weekly estimates,05 December 2021 to 11 December 2021,2.02,1.56,2.55,modelled weekly estimates,05 December 2021 to 11 December 2021,1.27,1.03,1.55,modelled weekly estimates
10 December 2021 to 16 December 2021,2.21,2.10,2.32,modelled weekly estimates,10 December 2021 to 16 December 2021,1.79,1.46,2.15,modelled weekly estimates,10 December 2021 to 16 December 2021,2.06,1.59,2.60,modelled weekly estimates,10 December 2021 to 16 December 2021,1.45,1.20,1.72,modelled weekly estimates
13 December 2021 to 19 December 2021,2.83,2.71,2.96,modelled weekly estimates,13 December 2021 to 19 December 2021,2.30,1.88,2.76,modelled weekly estimates,13 December 2021 to 19 December 2021,2.45,1.90,3.06,modelled weekly estimates,13 December 2021 to 19 December 2021,1.50,1.25,1.79,modelled weekly estimates
17 December 2021 to 23 December 2021,3.71,3.58,3.84,modelled weekly estimates,17 December 2021 to 23 December 2021,2.52,2.14,2.93,modelled weekly estimates,17 December 2021 to 23 December 2021,2.59,2.06,3.19,modelled weekly estimates,17 December 2021 to 23 December 2021,2.57,2.23,2.94,modelled weekly estimates
25 December 2021 to 31 December 2021,6.00,5.80,6.19,modelled weekly estimates,25 December 2021 to 31 December 2021,5.20,4.57,5.91,modelled weekly estimates,25 December 2021 to 31 December 2021,3.97,3.10,4.91,modelled weekly estimates,25 December 2021 to 31 December 2021,4.52,3.98,5.09,modelled weekly estimates
31 December 2021 to 06 January 2022,6.85,6.65,7.06,modelled weekly estimates,31 December 2021 to 06 January 2022,5.56,4.89,6.27,modelled weekly estimates,31 December 2021 to 06 January 2022,5.41,4.57,6.36,modelled weekly estimates,01 January 2022 to 07 January 2022,5.65,5.06,6.27,modelled weekly estimates
09 January 2022 to 15 January 2022,5.47,5.29,5.64,modelled weekly estimates,09 January 2022 to 15 January 2022,3.69,3.13,4.23,modelled weekly estimates,09 January 2022 to 15 January 2022,5.68,4.87,6.57,modelled weekly estimates,09 January 2022 to 15 January 2022,4.49,4.03,5.00,modelled weekly estimates
16 January 2022 to 22 January 2022,4.82,4.66,4.98,modelled weekly estimates,16 January 2022 to 22 January 2022,3.27,2.74,3.85,modelled weekly estimates,16 January 2022 to 22 January 2022,5.26,4.45,6.14,modelled weekly estimates,16 January 2022 to 22 January 2022,3.11,2.73,3.50,modelled weekly estimates
23 January 2022 to 29 January 2022,4.83,4.67,5.00,modelled weekly estimates,23 January 2022 to 29 January 2022,4.57,3.94,5.24,modelled weekly estimates,23 January 2022 to 29 January 2022,7.43,6.44,8.46,modelled weekly estimates,23 January 2022 to 29 January 2022,3.52,3.08,4.00,modelled weekly estimates
30 January 2022 to 05 February 2022,5.18,5.03,5.34,modelled weekly estimates,30 January 2022 to 05 February 2022,3.99,3.42,4.60,modelled weekly estimates,30 January 2022 to 05 February 2022,7.93,6.91,9.01,modelled weekly estimates,30 January 2022 to 05 February 2022,4.01,3.60,4.47,modelled weekly estimates
06 February 2022 to 12 February 2022,4.49,4.34,4.64,modelled weekly estimates,06 February 2022 to 12 February 2022,3.71,3.19,4.27,modelled weekly estimates,06 February 2022 to 12 February 2022,7.99,7.05,8.98,modelled weekly estimates,07 February 2022 to 13 February 2022,4.17,3.69,4.64,modelled weekly estimates
